sentence;Intent;Cause;Effect;Causal association;tokenized;bio_tags
@USER My morning insulin resistance is worst also , if I do have fruit / carbs I ' ll have it later in the day .;;morning insulin resistance is worst;fruit / carbs I ' ll have it later in the day;1.0;"['@USER', 'My', 'morning', 'insulin', 'resistance', 'is', 'worst', 'also', ',', 'if', 'I', 'do', 'have', 'fruit', '/', 'carbs', 'I', ""'"", 'll', 'have', 'it', 'later', 'in', 'the', 'day', '.']";['O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O']
Turns out it was a global pandemic that could KILL me as a diabetic , ruin my mental health , AND stop ALL of my families income for the foreseeable future ...;"mC;mE";"pandemic;diabetic";"KILL;ruin my mental health";1.0;['Turns', 'out', 'it', 'was', 'a', 'global', 'pandemic', 'that', 'could', 'KILL', 'me', 'as', 'a', 'diabetic', ',', 'ruin', 'my', 'mental', 'health', ',', 'AND', 'stop', 'ALL', 'of', 'my', 'families', 'income', 'for', 'the', 'foreseeable', 'future', '...'];['O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'I-E', 'O', 'O', 'O', 'I-C', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Kaiser did n't have any insulin so now my dad has to drive across town to check if they have any : slightly_smiling_face :;;insulin;drive across town;1.0;"['Kaiser', 'did', ""n't"", 'have', 'any', 'insulin', 'so', 'now', 'my', 'dad', 'has', 'to', 'drive', 'across', 'town', 'to', 'check', 'if', 'they', 'have', 'any', ':', 'slightly_smiling_face', ':']";['O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@USER @USER Tbh I get where you ' re coming from 100 % I have type 1 diabetes so I spent a lot of time chilling by myself too .;;type 1 diabetes;lot of time chilling by myself;1.0;"['@USER', '@USER', 'Tbh', 'I', 'get', 'where', 'you', ""'"", 're', 'coming', 'from', '100', '%', 'I', 'have', 'type', '1', 'diabetes', 'so', 'I', 'spent', 'a', 'lot', 'of', 'time', 'chilling', 'by', 'myself', 'too', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O']
When my friends are struggling to get insulin to stay alive , and people walk away from the pharmacy without their meds because they were $ 800 and NO insurance covers it , it is unconscionable to be against single payer healthcare .;"mC;mE";"insulin;$ 800;NO insurance";"struggling;stay alive;without their meds";1.0;['When', 'my', 'friends', 'are', 'struggling', 'to', 'get', 'insulin', 'to', 'stay', 'alive', ',', 'and', 'people', 'walk', 'away', 'from', 'the', 'pharmacy', 'without', 'their', 'meds', 'because', 'they', 'were', '$', '800', 'and', 'NO', 'insurance', 'covers', 'it', ',', 'it', 'is', 'unconscionable', 'to', 'be', 'against', 'single', 'payer', 'healthcare', '.'];['O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I do n't have #diabetes I ' m pre diabetic so the docs have said no sugar or simple carbs till my sugar level comes down .;;pre diabetic;no sugar or simple carbs;1.0;"['I', 'do', ""n't"", 'have', '#diabetes', 'I', ""'"", 'm', 'pre', 'diabetic', 'so', 'the', 'docs', 'have', 'said', 'no', 'sugar', 'or', 'simple', 'carbs', 'till', 'my', 'sugar', 'level', 'comes', 'down', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
It ' s literally heartbreaking when people pay hundreds of dollars out of pocket when they run out of insulin early and need a refill that insurance wo n't cover .;mC;"pay;out of insulin;insurance wo n't cover";heartbreaking;1.0;"['It', ""'"", 's', 'literally', 'heartbreaking', 'when', 'people', 'pay', 'hundreds', 'of', 'dollars', 'out', 'of', 'pocket', 'when', 'they', 'run', 'out', 'of', 'insulin', 'early', 'and', 'need', 'a', 'refill', 'that', 'insurance', 'wo', ""n't"", 'cover', '.']";['O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O']
My #CGM sensor in my arm is itching like crazy ( it ' s almost time to change it so I bet the skin is irritated ) and I just want to rip it outttt;;#CGM;itching;1.0;"['My', '#CGM', 'sensor', 'in', 'my', 'arm', 'is', 'itching', 'like', 'crazy', '(', 'it', ""'"", 's', 'almost', 'time', 'to', 'change', 'it', 'so', 'I', 'bet', 'the', 'skin', 'is', 'irritated', ')', 'and', 'I', 'just', 'want', 'to', 'rip', 'it', 'outttt']";['O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@USER YEAH she has hip dysplasia and diabetes which caused her blindness TT but she responds so sweetly to ppl cooing at her n i just , wanted to hold her all day WEH;;diabetes;blindness;1.0;['@USER', 'YEAH', 'she', 'has', 'hip', 'dysplasia', 'and', 'diabetes', 'which', 'caused', 'her', 'blindness', 'TT', 'but', 'she', 'responds', 'so', 'sweetly', 'to', 'ppl', 'cooing', 'at', 'her', 'n', 'i', 'just', ',', 'wanted', 'to', 'hold', 'her', 'all', 'day', 'WEH'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Feel well bad that a diabetic woman on the bus felt the need to explain to me that she ' s not a junkie and just taking her blood : face_with_tears_of_joy : : weary_face :;;diabetic;taking her blood;1.0;"['Feel', 'well', 'bad', 'that', 'a', 'diabetic', 'woman', 'on', 'the', 'bus', 'felt', 'the', 'need', 'to', 'explain', 'to', 'me', 'that', 'she', ""'"", 's', 'not', 'a', 'junkie', 'and', 'just', 'taking', 'her', 'blood', ':', 'face_with_tears_of_joy', ':', ':', 'weary_face', ':']";['O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O']
@USER Having the pain all over your body is very painful I know I suffer from pain all over because I ' m a diabetic and sometimes;mE;diabetic;"pain;painful;suffer from pain";1.0;"['@USER', 'Having', 'the', 'pain', 'all', 'over', 'your', 'body', 'is', 'very', 'painful', 'I', 'know', 'I', 'suffer', 'from', 'pain', 'all', 'over', 'because', 'I', ""'"", 'm', 'a', 'diabetic', 'and', 'sometimes']";['O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O']
"@USER I ' m * very * diabetic and control with diet / exercise / metformin only ; and while I do n't eat any whole grains ( they spike me , and not as slowly as those pushing them would want you to believe ) , I * do * eat limited beans in chili .";mE;diabetic;"diet;exercise;metformin;do n't eat any whole grains";1.0;"['@USER', 'I', ""'"", 'm', '*', 'very', '*', 'diabetic', 'and', 'control', 'with', 'diet', '/', 'exercise', '/', 'metformin', 'only', ';', 'and', 'while', 'I', 'do', ""n't"", 'eat', 'any', 'whole', 'grains', '(', 'they', 'spike', 'me', ',', 'and', 'not', 'as', 'slowly', 'as', 'those', 'pushing', 'them', 'would', 'want', 'you', 'to', 'believe', ')', ',', 'I', '*', 'do', '*', 'eat', 'limited', 'beans', 'in', 'chili', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'I-E', 'O', 'I-E', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@USER @USER @USER Please help me my parents in Mumbai they need help my mom is diabetic patient she needs medical help they need ration or food even they live in rent house own want money please help me : folded_hands : : folded_hands : : folded_hands : :p alms_up_together : :p alms_up_together : :p alms_up_together :;;diabetic;needs medical help;1.0;['@USER', '@USER', '@USER', 'Please', 'help', 'me', 'my', 'parents', 'in', 'Mumbai', 'they', 'need', 'help', 'my', 'mom', 'is', 'diabetic', 'patient', 'she', 'needs', 'medical', 'help', 'they', 'need', 'ration', 'or', 'food', 'even', 'they', 'live', 'in', 'rent', 'house', 'own', 'want', 'money', 'please', 'help', 'me', ':', 'folded_hands', ':', ':', 'folded_hands', ':', ':', 'folded_hands', ':', ':p', 'alms_up_together', ':', ':p', 'alms_up_together', ':', ':p', 'alms_up_together', ':'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
And people out here dying cause they can't afford insulin ..;;can't afford insulin;dying;1.0;"['And', 'people', 'out', 'here', 'dying', 'cause', 'they', ""can't"", 'afford', 'insulin', '..']";['O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O']
there are still misconceptions about how you get Diabetes Dad ran 3miles everyday most of his life , played AFL til 47 cricket til 68 & has always been incredibly fit & without a doubt regular exercise helps living with T1D both mentally & physically @USER @USER HTTPURL;;exercise;helps living with T1D;1.0;['there', 'are', 'still', 'misconceptions', 'about', 'how', 'you', 'get', 'Diabetes', 'Dad', 'ran', '3miles', 'everyday', 'most', 'of', 'his', 'life', ',', 'played', 'AFL', 'til', '47', 'cricket', 'til', '68', '&', 'has', 'always', 'been', 'incredibly', 'fit', '&', 'without', 'a', 'doubt', 'regular', 'exercise', 'helps', 'living', 'with', 'T1D', 'both', 'mentally', '&', 'physically', '@USER', '@USER', 'HTTPURL'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Pretty sick of insurance and diabetes , havent checked my blood sugar in 6 months , basically waiting for the day I dont wake up;mC;"insurance;diabetes";sick;1.0;['Pretty', 'sick', 'of', 'insurance', 'and', 'diabetes', ',', 'havent', 'checked', 'my', 'blood', 'sugar', 'in', '6', 'months', ',', 'basically', 'waiting', 'for', 'the', 'day', 'I', 'dont', 'wake', 'up'];['O', 'I-E', 'O', 'I-C', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"That weight and diet are the number one reasons why people have diabetes ; I try to graciously inform people that diabetes is caused by multiple factors .";mC;"weight;diet;multiple factors";diabetes;1.0;"['That', 'weight', 'and', 'diet', 'are', 'the', 'number', 'one', 'reasons', 'why', 'people', 'have', 'diabetes', ';', 'I', 'try', 'to', 'graciously', 'inform', 'people', 'that', 'diabetes', 'is', 'caused', 'by', 'multiple', 'factors', '.']";['O', 'I-C', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O']
So I asked my girlfriend to bring me sugar cause my blood glucose was off and she shows up with a bag of granulated sugar :p erson_facepalming : : medium light_skin_tone : ‍ : female_sign : : face_with_tears_of_joy : : smiling_face_with_hearts : #typeonediabetes #diabetesfails;;blood glucose was off;sugar;1.0;['So', 'I', 'asked', 'my', 'girlfriend', 'to', 'bring', 'me', 'sugar', 'cause', 'my', 'blood', 'glucose', 'was', 'off', 'and', 'she', 'shows', 'up', 'with', 'a', 'bag', 'of', 'granulated', 'sugar', ':p', 'erson_facepalming', ':', ':', 'medium', 'light_skin_tone', ':', '\u200d', ':', 'female_sign', ':', ':', 'face_with_tears_of_joy', ':', ':', 'smiling_face_with_hearts', ':', '#typeonediabetes', '#diabetesfails'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I ' ve been thinking about my progress with #t1d lately and I ' m proud of how far I ' ve come .;;progress with #t1d;proud;1.0;"['I', ""'"", 've', 'been', 'thinking', 'about', 'my', 'progress', 'with', '#t1d', 'lately', 'and', 'I', ""'"", 'm', 'proud', 'of', 'how', 'far', 'I', ""'"", 've', 'come', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I may not stand 100 % with Bernie but my own dad is diabetic and we struggle all the time to make sure we can afford his insulin , without it he will die and he ' ll die painfully , something this necessary should NOT be ridiculously expensive !;;afford his insulin;struggle;1.0;"['I', 'may', 'not', 'stand', '100', '%', 'with', 'Bernie', 'but', 'my', 'own', 'dad', 'is', 'diabetic', 'and', 'we', 'struggle', 'all', 'the', 'time', 'to', 'make', 'sure', 'we', 'can', 'afford', 'his', 'insulin', ',', 'without', 'it', 'he', 'will', 'die', 'and', 'he', ""'"", 'll', 'die', 'painfully', ',', 'something', 'this', 'necessary', 'should', 'NOT', 'be', 'ridiculously', 'expensive', '!']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
that ' s like 900 / month and there are people DYING because they can't afford it , especially during all of the covid madness;;can't afford it;DYING;1.0;"['that', ""'"", 's', 'like', '900', '/', 'month', 'and', 'there', 'are', 'people', 'DYING', 'because', 'they', ""can't"", 'afford', 'it', ',', 'especially', 'during', 'all', 'of', 'the', 'covid', 'madness']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
The last 24 hours have not been fun & im tired , do n't have coffee , finally got insulin so I can eat & my freaking pump decides it does n't want to do it ' s job today;;insulin;can eat;1.0;"['The', 'last', '24', 'hours', 'have', 'not', 'been', 'fun', '&', 'im', 'tired', ',', 'do', ""n't"", 'have', 'coffee', ',', 'finally', 'got', 'insulin', 'so', 'I', 'can', 'eat', '&', 'my', 'freaking', 'pump', 'decides', 'it', 'does', ""n't"", 'want', 'to', 'do', 'it', ""'"", 's', 'job', 'today']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
On plus side , if I got diabetes I ' ll get access to foot clinics , and free prescriptions , and flu shots .;mE;diabetes;"access to foot clinics;free prescriptions;flu shots";1.0;"['On', 'plus', 'side', ',', 'if', 'I', 'got', 'diabetes', 'I', ""'"", 'll', 'get', 'access', 'to', 'foot', 'clinics', ',', 'and', 'free', 'prescriptions', ',', 'and', 'flu', 'shots', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'I-E', 'I-E', 'O']
Ignoring young people dying for rationing insulin and fathers committing suicide to avoid burdening famiy with medical debt .;;rationing insulin;dying;1.0;['Ignoring', 'young', 'people', 'dying', 'for', 'rationing', 'insulin', 'and', 'fathers', 'committing', 'suicide', 'to', 'avoid', 'burdening', 'famiy', 'with', 'medical', 'debt', '.'];['O', 'O', 'O', 'I-E', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
My blood sugar is back to normal , and I can't remember that amazing tweet I thought of when I was in a diabetic coma .;;diabetic coma;can't remember;1.0;"['My', 'blood', 'sugar', 'is', 'back', 'to', 'normal', ',', 'and', 'I', ""can't"", 'remember', 'that', 'amazing', 'tweet', 'I', 'thought', 'of', 'when', 'I', 'was', 'in', 'a', 'diabetic', 'coma', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O']
@USER @USER ( 2 ) They both past away from cancer and diabetes a year apart from one another when I was 11 , and these stories have helped momentarily distract me of life ' s certain realities back then and even now .;mC;"cancer;diabetes";past away;1.0;"['@USER', '@USER', '(', '2', ')', 'They', 'both', 'past', 'away', 'from', 'cancer', 'and', 'diabetes', 'a', 'year', 'apart', 'from', 'one', 'another', 'when', 'I', 'was', '11', ',', 'and', 'these', 'stories', 'have', 'helped', 'momentarily', 'distract', 'me', 'of', 'life', ""'"", 's', 'certain', 'realities', 'back', 'then', 'and', 'even', 'now', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'I-C', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
""" Greg , on how he ' ll keep an eye on my blood sugars while I ' m at the gym via the dexcom app .";;dexcom app;keep an eye on my blood sugars;1.0;"['""', 'Greg', ',', 'on', 'how', 'he', ""'"", 'll', 'keep', 'an', 'eye', 'on', 'my', 'blood', 'sugars', 'while', 'I', ""'"", 'm', 'at', 'the', 'gym', 'via', 'the', 'dexcom', 'app', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O']
Learned that a batchmate recently died because of diabetes .;;diabetes;died;1.0;['Learned', 'that', 'a', 'batchmate', 'recently', 'died', 'because', 'of', 'diabetes', '.'];['O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'O']
What a twit all of sudden the guy who looted Medicare is dumbfounded by cost of insulin notice how Republicans never answer the question but come up with a new talking point cost of medical care did this guy just get thrown off back of truck;;cost of insulin;dumbfounded;1.0;['What', 'a', 'twit', 'all', 'of', 'sudden', 'the', 'guy', 'who', 'looted', 'Medicare', 'is', 'dumbfounded', 'by', 'cost', 'of', 'insulin', 'notice', 'how', 'Republicans', 'never', 'answer', 'the', 'question', 'but', 'come', 'up', 'with', 'a', 'new', 'talking', 'point', 'cost', 'of', 'medical', 'care', 'did', 'this', 'guy', 'just', 'get', 'thrown', 'off', 'back', 'of', 'truck'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@USER I rcv ' d inpatient b / c I became diabetic after I was in MSKCC & they removed my pancreas completely .;mE;diabetic;"inpatient;removed my pancreas";1.0;"['@USER', 'I', 'rcv', ""'"", 'd', 'inpatient', 'b', '/', 'c', 'I', 'became', 'diabetic', 'after', 'I', 'was', 'in', 'MSKCC', '&', 'they', 'removed', 'my', 'pancreas', 'completely', '.']";['O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O']
@USER @USER We ' d always prayed that a cure could be discovered for diabetes to help my sister She passed away at 52 years old in 2011 and that left a void in our lives We continue to hope for the cure one day .;;diabetes;passed away;1.0;"['@USER', '@USER', 'We', ""'"", 'd', 'always', 'prayed', 'that', 'a', 'cure', 'could', 'be', 'discovered', 'for', 'diabetes', 'to', 'help', 'my', 'sister', 'She', 'passed', 'away', 'at', '52', 'years', 'old', 'in', '2011', 'and', 'that', 'left', 'a', 'void', 'in', 'our', 'lives', 'We', 'continue', 'to', 'hope', 'for', 'the', 'cure', 'one', 'day', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I really needed to study today , but here I am forgetting my insulin and ruin the whole day :) ) ) Being chronically ill and being stressed does not really work that well together;;forgetting my insulin;ruin the whole day;1.0;['I', 'really', 'needed', 'to', 'study', 'today', ',', 'but', 'here', 'I', 'am', 'forgetting', 'my', 'insulin', 'and', 'ruin', 'the', 'whole', 'day', ':)', ')', ')', 'Being', 'chronically', 'ill', 'and', 'being', 'stressed', 'does', 'not', 'really', 'work', 'that', 'well', 'together'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"@USER In such complaint ; I consume fats ; sugars until I get diabetes , heart attack and die ; in a chain of 4 years of suffer in a cell of 27 meter square ; my room ; an unofficial calls ; minister , parliament and so on , nothing official .";"mC;mE";"fats;sugars";"diabetes;heart attack;die";1.0;"['@USER', 'In', 'such', 'complaint', ';', 'I', 'consume', 'fats', ';', 'sugars', 'until', 'I', 'get', 'diabetes', ',', 'heart', 'attack', 'and', 'die', ';', 'in', 'a', 'chain', 'of', '4', 'years', 'of', 'suffer', 'in', 'a', 'cell', 'of', '27', 'meter', 'square', ';', 'my', 'room', ';', 'an', 'unofficial', 'calls', ';', 'minister', ',', 'parliament', 'and', 'so', 'on', ',', 'nothing', 'official', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'I-C', 'O', 'O', 'O', 'I-E', 'O', 'I-E', 'I-E', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@USER I ' m tired of knowing my insulin is $ 400 / box while being told my body is something less than other people ' s bodies;;insulin is $ 400;tired;1.0;"['@USER', 'I', ""'"", 'm', 'tired', 'of', 'knowing', 'my', 'insulin', 'is', '$', '400', '/', 'box', 'while', 'being', 'told', 'my', 'body', 'is', 'something', 'less', 'than', 'other', 'people', ""'"", 's', 'bodies']";['O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
He had developed type 2 diabetes after grandma died I took him forks over knives and he ' s plant based but then he had to go to the nursing home and they feed him crap he ' s gained weight does n't look so good and diabetes is back : broken_heart : it;;gained weight;diabetes;1.0;"['He', 'had', 'developed', 'type', '2', 'diabetes', 'after', 'grandma', 'died', 'I', 'took', 'him', 'forks', 'over', 'knives', 'and', 'he', ""'"", 's', 'plant', 'based', 'but', 'then', 'he', 'had', 'to', 'go', 'to', 'the', 'nursing', 'home', 'and', 'they', 'feed', 'him', 'crap', 'he', ""'"", 's', 'gained', 'weight', 'does', ""n't"", 'look', 'so', 'good', 'and', 'diabetes', 'is', 'back', ':', 'broken_heart', ':', 'it']";['O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
:d og_face : : two_hearts : Kenley has Type 1 diabetes , and she says pup play beats pricking her finger ( doctors agree , too ) !;;Type 1 diabetes;pricking her finger;1.0;[':d', 'og_face', ':', ':', 'two_hearts', ':', 'Kenley', 'has', 'Type', '1', 'diabetes', ',', 'and', 'she', 'says', 'pup', 'play', 'beats', 'pricking', 'her', 'finger', '(', 'doctors', 'agree', ',', 'too', ')', '!'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@USER I ' m borderline diabetic so I ' m on a diet .;;borderline diabetic;diet;1.0;"['@USER', 'I', ""'"", 'm', 'borderline', 'diabetic', 'so', 'I', ""'"", 'm', 'on', 'a', 'diet', '.']";['O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O']
